Project ID,Project Name,Project Type,Location,Project Status,Budget
P001,Renovation of a School Project 001,Renovation,Texas,Behind,9621
P001,Renovation of a School Project 001,Renovation,New Jersey,Behind,7814
P001,Renovation of a School Project 001,Renovation,Ohio,Behind,1028
P002,Innovation of a Classroom Project 002,Innovation,Pennsylvania,On Track,1530
P002,Innovation of a Classroom Project 002,Innovation,New York,On Track,7201
P002,Innovation of a Classroom Project 002,Innovation,California,On Track,9814
P003,Construction of a Hospital Wing Project 003,Construction,Pennsylvania,Completed,7981
P003,Construction of a Hospital Wing Project 003,Construction,Virginia,Completed,1032
P003,Construction of a Hospital Wing Project 003,Construction,Ohio,Completed,8546
P004,Road Expansion Project 004,Infrastructure,Pennsylvania,Completed,3728
P004,Road Expansion Project 004,Infrastructure,Texas,Completed,9707
P004,Road Expansion Project 004,Infrastructure,Texas,Completed,5712
P005,Bridge Maintenance Project 005,Maintenance,Michigan,Behind,3453
P005,Bridge Maintenance Project 005,Maintenance,California,Behind,2896
P005,Bridge Maintenance Project 005,Maintenance,Virginia,Behind,6463
P006,Office Building Renovation Project 006,Renovation,Michigan,Behind,3206
P006,Office Building Renovation Project 006,Renovation,North Carolina,Behind,6477
P006,Office Building Renovation Project 006,Renovation,Pennsylvania,Behind,8634
P007,Apartment Complex Development Project 007,Other,California,On Track,2552
P007,Apartment Complex Development Project 007,Other,Florida,On Track,4699
P007,Apartment Complex Development Project 007,Other,Pennsylvania,On Track,1720
P008,Commercial Center Construction Project 008,Construction,Illinois,On Track,9458
P008,Commercial Center Construction Project 008,Construction,Washington,On Track,4735
P008,Commercial Center Construction Project 008,Construction,Georgia,On Track,9460
P009,Highway Reconstruction Project 009,Other,Texas,On Hold,6385
P009,Highway Reconstruction Project 009,Other,Virginia,On Hold,7980
P009,Highway Reconstruction Project 009,Other,Ohio,On Hold,1106
P010,Airport Expansion Project 010,Other,New Jersey,On Track,1577
P010,Airport Expansion Project 010,Other,Ohio,On Track,3110
P010,Airport Expansion Project 010,Other,Ohio,On Track,3432
P011,Shopping Mall Renovation Project 011,Renovation,Texas,Completed,3544
P011,Shopping Mall Renovation Project 011,Renovation,Georgia,Completed,7808
P011,Shopping Mall Renovation Project 011,Renovation,Florida,Completed,1776
P012,University Dormitory Construction Project 012,Construction,Georgia,Completed,1815
P012,University Dormitory Construction Project 012,Construction,Ohio,Completed,8915
P012,University Dormitory Construction Project 012,Construction,New York,Completed,9242
P013,Sports Stadium Upgrade Project 013,Other,Florida,On Hold,9559
P013,Sports Stadium Upgrade Project 013,Other,Michigan,On Hold,4795
P013,Sports Stadium Upgrade Project 013,Other,California,On Hold,5258
P014,Public Library Renovation Project 014,Renovation,Ohio,Behind,8531
P014,Public Library Renovation Project 014,Renovation,Ohio,Behind,3564
P014,Public Library Renovation Project 014,Renovation,New Jersey,Behind,6213
P015,Building a Park Project 015,Other,Georgia,On Hold,4714
P015,Building a Park Project 015,Other,New Jersey,On Hold,1026
P015,Building a Park Project 015,Other,North Carolina,On Hold,5365
P016,Renovation of a School Project 016,Renovation,Georgia,Completed,3688
P016,Renovation of a School Project 016,Renovation,Texas,Completed,3233
P016,Renovation of a School Project 016,Renovation,Florida,Completed,8366
P017,Innovation of a Classroom Project 017,Innovation,Virginia,On Track,1856
P017,Innovation of a Classroom Project 017,Innovation,Illinois,On Track,5620
P017,Innovation of a Classroom Project 017,Innovation,Georgia,On Track,1904
P018,Construction of a Hospital Wing Project 018,Construction,Ohio,Behind,5908
P018,Construction of a Hospital Wing Project 018,Construction,North Carolina,Behind,2176
P018,Construction of a Hospital Wing Project 018,Construction,Pennsylvania,Behind,9002
P019,Road Expansion Project 019,Infrastructure,Texas,Behind,6821
P019,Road Expansion Project 019,Infrastructure,Ohio,Behind,7324
P019,Road Expansion Project 019,Infrastructure,Georgia,Behind,3099
P020,Bridge Maintenance Project 020,Maintenance,Michigan,Completed,7962
P020,Bridge Maintenance Project 020,Maintenance,California,Completed,7221
P020,Bridge Maintenance Project 020,Maintenance,Michigan,Completed,7256
P021,Office Building Renovation Project 021,Renovation,North Carolina,Behind,8483
P021,Office Building Renovation Project 021,Renovation,Michigan,Behind,2463
P021,Office Building Renovation Project 021,Renovation,Georgia,Behind,8372
P022,Apartment Complex Development Project 022,Other,Michigan,On Track,8903
P022,Apartment Complex Development Project 022,Other,California,On Track,1255
P022,Apartment Complex Development Project 022,Other,Virginia,On Track,1424
P023,Commercial Center Construction Project 023,Construction,Virginia,Behind,3662
P023,Commercial Center Construction Project 023,Construction,North Carolina,Behind,2437
P023,Commercial Center Construction Project 023,Construction,Illinois,Behind,7519
P024,Highway Reconstruction Project 024,Other,Illinois,Completed,5955
P024,Highway Reconstruction Project 024,Other,Florida,Completed,1799
P024,Highway Reconstruction Project 024,Other,Michigan,Completed,8925
P025,Airport Expansion Project 025,Other,Washington,On Hold,8938
P025,Airport Expansion Project 025,Other,New Jersey,On Hold,8533
P025,Airport Expansion Project 025,Other,New York,On Hold,8402
P026,Shopping Mall Renovation Project 026,Renovation,Pennsylvania,On Hold,6524
P026,Shopping Mall Renovation Project 026,Renovation,Illinois,On Hold,8061
P026,Shopping Mall Renovation Project 026,Renovation,Georgia,On Hold,2436
P027,University Dormitory Construction Project 027,Construction,Michigan,Completed,9670
P027,University Dormitory Construction Project 027,Construction,Washington,Completed,1646
P027,University Dormitory Construction Project 027,Construction,Ohio,Completed,3853
P028,Sports Stadium Upgrade Project 028,Other,California,Behind,5266
P028,Sports Stadium Upgrade Project 028,Other,California,Behind,4878
P028,Sports Stadium Upgrade Project 028,Other,New York,Behind,4589
P029,Public Library Renovation Project 029,Renovation,North Carolina,On Track,3498
P029,Public Library Renovation Project 029,Renovation,Michigan,On Track,7342
P029,Public Library Renovation Project 029,Renovation,Virginia,On Track,3172
P030,Building a Park Project 030,Other,Washington,On Track,8742
P030,Building a Park Project 030,Other,Pennsylvania,On Track,4274
P030,Building a Park Project 030,Other,New York,On Track,3338
P031,Renovation of a School Project 031,Renovation,Illinois,On Track,3147
P031,Renovation of a School Project 031,Renovation,Georgia,On Track,8355
P031,Renovation of a School Project 031,Renovation,Georgia,On Track,4000
P032,Innovation of a Classroom Project 032,Innovation,New Jersey,On Hold,4133
P032,Innovation of a Classroom Project 032,Innovation,New York,On Hold,8258
P032,Innovation of a Classroom Project 032,Innovation,Washington,On Hold,3654
P033,Construction of a Hospital Wing Project 033,Construction,California,Behind,4561
P033,Construction of a Hospital Wing Project 033,Construction,Texas,Behind,9743
P033,Construction of a Hospital Wing Project 033,Construction,New Jersey,Behind,7316
P034,Road Expansion Project 034,Infrastructure,Florida,Behind,2342
P034,Road Expansion Project 034,Infrastructure,Ohio,Behind,5899
P034,Road Expansion Project 034,Infrastructure,Pennsylvania,Behind,8314
P035,Bridge Maintenance Project 035,Maintenance,New Jersey,On Hold,7361
P035,Bridge Maintenance Project 035,Maintenance,Virginia,On Hold,6901
P035,Bridge Maintenance Project 035,Maintenance,New Jersey,On Hold,5183
P036,Office Building Renovation Project 036,Renovation,Michigan,Behind,1220
P036,Office Building Renovation Project 036,Renovation,Georgia,Behind,6005
P036,Office Building Renovation Project 036,Renovation,California,Behind,3891
P037,Apartment Complex Development Project 037,Other,Virginia,Behind,9160
P037,Apartment Complex Development Project 037,Other,Pennsylvania,Behind,1719
P037,Apartment Complex Development Project 037,Other,Illinois,Behind,5180
P038,Commercial Center Construction Project 038,Construction,Texas,Behind,8804
P038,Commercial Center Construction Project 038,Construction,Michigan,Behind,8552
P038,Commercial Center Construction Project 038,Construction,Michigan,Behind,6348
P039,Highway Reconstruction Project 039,Other,Virginia,Completed,5312
P039,Highway Reconstruction Project 039,Other,Virginia,Completed,9232
P039,Highway Reconstruction Project 039,Other,Michigan,Completed,3291
P040,Airport Expansion Project 040,Other,Florida,Behind,4414
P040,Airport Expansion Project 040,Other,Virginia,Behind,9998
P040,Airport Expansion Project 040,Other,Michigan,Behind,4869
P041,Shopping Mall Renovation Project 041,Renovation,Pennsylvania,Completed,3746
P041,Shopping Mall Renovation Project 041,Renovation,Florida,Completed,5413
P041,Shopping Mall Renovation Project 041,Renovation,Georgia,Completed,6416
P042,University Dormitory Construction Project 042,Construction,North Carolina,Behind,5512
P042,University Dormitory Construction Project 042,Construction,California,Behind,6632
P042,University Dormitory Construction Project 042,Construction,New Jersey,Behind,3321
P043,Sports Stadium Upgrade Project 043,Other,California,On Track,9960
P043,Sports Stadium Upgrade Project 043,Other,Virginia,On Track,7019
P043,Sports Stadium Upgrade Project 043,Other,North Carolina,On Track,2549
P044,Public Library Renovation Project 044,Renovation,Georgia,Behind,4587
P044,Public Library Renovation Project 044,Renovation,New Jersey,Behind,4629
P044,Public Library Renovation Project 044,Renovation,Washington,Behind,4113
P045,Building a Park Project 045,Other,Ohio,Completed,3423
P045,Building a Park Project 045,Other,Texas,Completed,2297
P045,Building a Park Project 045,Other,Virginia,Completed,2868
P046,Renovation of a School Project 046,Renovation,California,Completed,1771
P046,Renovation of a School Project 046,Renovation,North Carolina,Completed,1781
P046,Renovation of a School Project 046,Renovation,Florida,Completed,7012
P047,Innovation of a Classroom Project 047,Innovation,Florida,On Hold,2554
P047,Innovation of a Classroom Project 047,Innovation,Illinois,On Hold,8357
P047,Innovation of a Classroom Project 047,Innovation,Pennsylvania,On Hold,9034
P048,Construction of a Hospital Wing Project 048,Construction,Florida,Completed,5180
P048,Construction of a Hospital Wing Project 048,Construction,Virginia,Completed,5368
P048,Construction of a Hospital Wing Project 048,Construction,Florida,Completed,3812
P049,Road Expansion Project 049,Infrastructure,Pennsylvania,Completed,2237
P049,Road Expansion Project 049,Infrastructure,Texas,Completed,8742
P049,Road Expansion Project 049,Infrastructure,New York,Completed,2613
P050,Bridge Maintenance Project 050,Maintenance,Illinois,On Track,9467
P050,Bridge Maintenance Project 050,Maintenance,Virginia,On Track,1380
P050,Bridge Maintenance Project 050,Maintenance,Pennsylvania,On Track,1169
P051,Office Building Renovation Project 051,Renovation,Ohio,Behind,7063
P051,Office Building Renovation Project 051,Renovation,Virginia,Behind,3221
P051,Office Building Renovation Project 051,Renovation,Florida,Behind,1201
P052,Apartment Complex Development Project 052,Other,Virginia,On Hold,8114
P052,Apartment Complex Development Project 052,Other,Ohio,On Hold,7222
P052,Apartment Complex Development Project 052,Other,Illinois,On Hold,2022
P053,Commercial Center Construction Project 053,Construction,Texas,On Track,9700
P053,Commercial Center Construction Project 053,Construction,New Jersey,On Track,7624
P053,Commercial Center Construction Project 053,Construction,Ohio,On Track,9072
P054,Highway Reconstruction Project 054,Other,New Jersey,Behind,6793
P054,Highway Reconstruction Project 054,Other,California,Behind,2398
P054,Highway Reconstruction Project 054,Other,New York,Behind,9449
P055,Airport Expansion Project 055,Other,Virginia,On Hold,8386
P055,Airport Expansion Project 055,Other,Illinois,On Hold,4294
P055,Airport Expansion Project 055,Other,Michigan,On Hold,8340
P056,Shopping Mall Renovation Project 056,Renovation,Pennsylvania,Completed,3548
P056,Shopping Mall Renovation Project 056,Renovation,California,Completed,9545
P056,Shopping Mall Renovation Project 056,Renovation,Florida,Completed,1449
P057,University Dormitory Construction Project 057,Construction,North Carolina,On Track,9728
P057,University Dormitory Construction Project 057,Construction,New York,On Track,6762
P057,University Dormitory Construction Project 057,Construction,California,On Track,4093
P058,Sports Stadium Upgrade Project 058,Other,New Jersey,On Hold,9027
P058,Sports Stadium Upgrade Project 058,Other,Georgia,On Hold,4949
P058,Sports Stadium Upgrade Project 058,Other,Georgia,On Hold,1671
P059,Public Library Renovation Project 059,Renovation,North Carolina,On Hold,1634
P059,Public Library Renovation Project 059,Renovation,Pennsylvania,On Hold,9178
P059,Public Library Renovation Project 059,Renovation,Ohio,On Hold,5369
P060,Building a Park Project 060,Other,Georgia,On Hold,4383
P060,Building a Park Project 060,Other,Texas,On Hold,9106
P060,Building a Park Project 060,Other,Washington,On Hold,7376
P061,Renovation of a School Project 061,Renovation,Georgia,On Hold,4564
P061,Renovation of a School Project 061,Renovation,New Jersey,On Hold,6685
P061,Renovation of a School Project 061,Renovation,New Jersey,On Hold,3548
P062,Innovation of a Classroom Project 062,Innovation,Washington,On Hold,5997
P062,Innovation of a Classroom Project 062,Innovation,New York,On Hold,3180
P062,Innovation of a Classroom Project 062,Innovation,New York,On Hold,2178
P063,Construction of a Hospital Wing Project 063,Construction,Pennsylvania,On Track,2944
P063,Construction of a Hospital Wing Project 063,Construction,California,On Track,7376
P063,Construction of a Hospital Wing Project 063,Construction,Florida,On Track,6433
P064,Road Expansion Project 064,Infrastructure,Texas,Behind,5551
P064,Road Expansion Project 064,Infrastructure,Illinois,Behind,9127
P064,Road Expansion Project 064,Infrastructure,Virginia,Behind,9168
P065,Bridge Maintenance Project 065,Maintenance,New York,On Track,2284
P065,Bridge Maintenance Project 065,Maintenance,Florida,On Track,4973
P065,Bridge Maintenance Project 065,Maintenance,North Carolina,On Track,7992
P066,Office Building Renovation Project 066,Renovation,Georgia,Completed,3669
P066,Office Building Renovation Project 066,Renovation,Georgia,Completed,6395
P066,Office Building Renovation Project 066,Renovation,North Carolina,Completed,4445
P067,Apartment Complex Development Project 067,Other,Washington,Completed,1599
P067,Apartment Complex Development Project 067,Other,Texas,Completed,9597
P067,Apartment Complex Development Project 067,Other,New York,Completed,2143
P068,Commercial Center Construction Project 068,Construction,New York,Behind,6658
P068,Commercial Center Construction Project 068,Construction,Illinois,Behind,8758
P068,Commercial Center Construction Project 068,Construction,California,Behind,9806
P069,Highway Reconstruction Project 069,Other,Washington,On Track,3424
P069,Highway Reconstruction Project 069,Other,North Carolina,On Track,8166
P069,Highway Reconstruction Project 069,Other,North Carolina,On Track,9968
P070,Airport Expansion Project 070,Other,California,Behind,9313
P070,Airport Expansion Project 070,Other,Michigan,Behind,4494
P070,Airport Expansion Project 070,Other,Florida,Behind,7738
P071,Shopping Mall Renovation Project 071,Renovation,Virginia,On Track,8568
P071,Shopping Mall Renovation Project 071,Renovation,Texas,On Track,1052
P071,Shopping Mall Renovation Project 071,Renovation,Pennsylvania,On Track,7325
P072,University Dormitory Construction Project 072,Construction,Ohio,On Hold,7862
P072,University Dormitory Construction Project 072,Construction,Georgia,On Hold,7708
P072,University Dormitory Construction Project 072,Construction,New Jersey,On Hold,3260
P073,Sports Stadium Upgrade Project 073,Other,Texas,Behind,1702
P073,Sports Stadium Upgrade Project 073,Other,Virginia,Behind,8403
P073,Sports Stadium Upgrade Project 073,Other,Texas,Behind,4955
P074,Public Library Renovation Project 074,Renovation,New York,Behind,3533
P074,Public Library Renovation Project 074,Renovation,Washington,Behind,8279
P074,Public Library Renovation Project 074,Renovation,Texas,Behind,3680
P075,Building a Park Project 075,Other,Texas,Behind,8493
P075,Building a Park Project 075,Other,Washington,Behind,3828
P075,Building a Park Project 075,Other,Virginia,Behind,6118
P076,Renovation of a School Project 076,Renovation,Michigan,On Track,6558
P076,Renovation of a School Project 076,Renovation,New York,On Track,1044
P076,Renovation of a School Project 076,Renovation,Ohio,On Track,7397
P077,Innovation of a Classroom Project 077,Innovation,California,On Hold,8832
P077,Innovation of a Classroom Project 077,Innovation,Virginia,On Hold,3123
P077,Innovation of a Classroom Project 077,Innovation,Florida,On Hold,6854
P078,Construction of a Hospital Wing Project 078,Construction,Michigan,On Hold,8429
P078,Construction of a Hospital Wing Project 078,Construction,New Jersey,On Hold,1501
P078,Construction of a Hospital Wing Project 078,Construction,Pennsylvania,On Hold,8487
P079,Road Expansion Project 079,Infrastructure,California,Completed,6425
P079,Road Expansion Project 079,Infrastructure,Florida,Completed,8044
P079,Road Expansion Project 079,Infrastructure,New York,Completed,9524
P080,Bridge Maintenance Project 080,Maintenance,Ohio,On Track,4368
P080,Bridge Maintenance Project 080,Maintenance,New Jersey,On Track,2261
P080,Bridge Maintenance Project 080,Maintenance,Texas,On Track,8706
P081,Office Building Renovation Project 081,Renovation,Pennsylvania,On Track,1149
P081,Office Building Renovation Project 081,Renovation,Virginia,On Track,5011
P081,Office Building Renovation Project 081,Renovation,North Carolina,On Track,6163
P082,Apartment Complex Development Project 082,Other,Ohio,On Track,7524
P082,Apartment Complex Development Project 082,Other,Florida,On Track,2202
P082,Apartment Complex Development Project 082,Other,Pennsylvania,On Track,6835
P083,Commercial Center Construction Project 083,Construction,Michigan,Behind,8645
P083,Commercial Center Construction Project 083,Construction,New York,Behind,9360
P083,Commercial Center Construction Project 083,Construction,Georgia,Behind,2183
P084,Highway Reconstruction Project 084,Other,Georgia,On Hold,1713
P084,Highway Reconstruction Project 084,Other,North Carolina,On Hold,6400
P084,Highway Reconstruction Project 084,Other,North Carolina,On Hold,3319
P085,Airport Expansion Project 085,Other,Virginia,Completed,8340
P085,Airport Expansion Project 085,Other,Illinois,Completed,4749
P085,Airport Expansion Project 085,Other,New Jersey,Completed,6222
P086,Shopping Mall Renovation Project 086,Renovation,Pennsylvania,Completed,9246
P086,Shopping Mall Renovation Project 086,Renovation,Pennsylvania,Completed,7327
P086,Shopping Mall Renovation Project 086,Renovation,Virginia,Completed,6331
P087,University Dormitory Construction Project 087,Construction,California,On Track,2256
P087,University Dormitory Construction Project 087,Construction,New York,On Track,5371
P087,University Dormitory Construction Project 087,Construction,North Carolina,On Track,2434
P088,Sports Stadium Upgrade Project 088,Other,Georgia,Completed,7504
P088,Sports Stadium Upgrade Project 088,Other,Virginia,Completed,7717
P088,Sports Stadium Upgrade Project 088,Other,Washington,Completed,4651
P089,Public Library Renovation Project 089,Renovation,Georgia,On Track,5791
P089,Public Library Renovation Project 089,Renovation,Washington,On Track,4133
P089,Public Library Renovation Project 089,Renovation,Washington,On Track,8716
P090,Building a Park Project 090,Other,Michigan,Completed,9174
P090,Building a Park Project 090,Other,North Carolina,Completed,9702
P090,Building a Park Project 090,Other,Georgia,Completed,8975
P091,Renovation of a School Project 091,Renovation,Michigan,On Hold,7491
P091,Renovation of a School Project 091,Renovation,Michigan,On Hold,4013
P091,Renovation of a School Project 091,Renovation,New York,On Hold,1670
P092,Innovation of a Classroom Project 092,Innovation,California,Completed,6004
P092,Innovation of a Classroom Project 092,Innovation,Illinois,Completed,9649
P092,Innovation of a Classroom Project 092,Innovation,Georgia,Completed,5921
P093,Construction of a Hospital Wing Project 093,Construction,Virginia,Completed,4306
P093,Construction of a Hospital Wing Project 093,Construction,Illinois,Completed,8367
P093,Construction of a Hospital Wing Project 093,Construction,Georgia,Completed,4178
P094,Road Expansion Project 094,Infrastructure,North Carolina,Behind,1773
P094,Road Expansion Project 094,Infrastructure,Illinois,Behind,7829
P094,Road Expansion Project 094,Infrastructure,Virginia,Behind,1447
P095,Bridge Maintenance Project 095,Maintenance,Ohio,Behind,8329
P095,Bridge Maintenance Project 095,Maintenance,Illinois,Behind,6160
P095,Bridge Maintenance Project 095,Maintenance,New Jersey,Behind,6083
P096,Office Building Renovation Project 096,Renovation,Georgia,On Track,1235
P096,Office Building Renovation Project 096,Renovation,Illinois,On Track,2984
P096,Office Building Renovation Project 096,Renovation,Ohio,On Track,5211
P097,Apartment Complex Development Project 097,Other,Washington,Behind,6292
P097,Apartment Complex Development Project 097,Other,Florida,Behind,2335
P097,Apartment Complex Development Project 097,Other,Virginia,Behind,3956
P098,Commercial Center Construction Project 098,Construction,Illinois,Completed,8906
P098,Commercial Center Construction Project 098,Construction,Texas,Completed,8346
P098,Commercial Center Construction Project 098,Construction,Michigan,Completed,5134
P099,Highway Reconstruction Project 099,Other,New Jersey,Completed,7307
P099,Highway Reconstruction Project 099,Other,New York,Completed,9425
P099,Highway Reconstruction Project 099,Other,Florida,Completed,5199
P100,Airport Expansion Project 100,Other,Virginia,On Track,2156
P100,Airport Expansion Project 100,Other,Pennsylvania,On Track,1502
P100,Airport Expansion Project 100,Other,Virginia,On Track,8619
